Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual
FY23-24,19980,Melton Railway Station (Melton South),-37.703362,144.572217,761300
FY23-24,19981,Rockbank Railway Station (Rockbank),-37.729258,144.65063,328050
FY23-24,19982,Deer Park Railway Station (Deer Park),-37.77776,144.772307,518750
FY23-24,20020,Ardeer Railway Station (Ardeer),-37.783063,144.802193,78950
FY23-24,20287,Albury Railway Station (Albury (NSW)),-36.084263,146.924518,73450
FY23-24,20288,Ararat Railway Station (Ararat),-37.282202,142.936912,50350
FY23-24,20289,Avenel Railway Station (Avenel),-36.893644,145.229517,1400
FY23-24,20290,Bacchus Marsh Railway Station (Maddingley),-37.687517,144.436857,334450
FY23-24,20291,Bairnsdale Railway Station (Bairnsdale),-37.828717,147.627615,49800
FY23-24,20292,Ballan Railway Station (Ballan),-37.6043,144.225443,85950
FY23-24,20293,Ballarat Railway Station (Ballarat Central),-37.55879,143.859452,604350
FY23-24,20294,Beaufort Railway Station (Beaufort),-37.427875,143.382233,8300
FY23-24,20295,Benalla Railway Station (Benalla),-36.544549,145.983914,28200
FY23-24,20296,Bendigo Railway Station (Bendigo),-36.765673,144.283012,456400
FY23-24,20297,Birregurra Railway Station (Birregurra),-38.328807,143.78362,3200
FY23-24,20298,Broadford Railway Station (Broadford),-37.207202,145.043009,44250
FY23-24,20299,Bunyip Railway Station (Bunyip),-38.09911,145.720762,13800
FY23-24,20300,Camperdown Railway Station (Camperdown),-38.2289,143.150932,14450
FY23-24,20301,Castlemaine Railway Station (Castlemaine),-37.062836,144.213801,214300
FY23-24,20302,Chiltern Railway Station (Chiltern),-36.155634,146.61138,5500
FY23-24,20303,Clarkefield Railway Station (Clarkefield),-37.483497,144.745368,31550
FY23-24,20304,Colac Railway Station (Colac),-38.343378,143.586658,27050
FY23-24,20305,Corio Railway Station (Corio),-38.072835,144.37977,29300
FY23-24,20306,Dingee Railway Station (Dingee),-36.369235,144.23112,350
FY23-24,20307,Donnybrook Railway Station (Donnybrook),-37.542571,144.96955,125550
FY23-24,20308,Drouin Railway Station (Drouin),-38.136453,145.855943,87600
FY23-24,20309,Eaglehawk Railway Station (Eaglehawk),-36.718528,144.248382,3100
FY23-24,20310,Echuca Railway Station (Echuca),-36.130985,144.753463,28800
FY23-24,20311,Elmore Railway Station (Elmore),-36.495017,144.607753,1900
FY23-24,20312,Euroa Railway Station (Euroa),-36.749135,145.568086,6900
FY23-24,20313,Garfield Railway Station (Garfield),-38.09103,145.67422,18950
FY23-24,20314,Geelong Railway Station (Geelong),-38.144241,144.354992,969600
FY23-24,20315,Gisborne Railway Station (New Gisborne),-37.458825,144.598718,129100
FY23-24,20316,Heathcote Junction Railway Station (Heathcote Junction),-37.371709,145.028202,5200
FY23-24,20317,Kangaroo Flat Railway Station (Kangaroo Flat),-36.794838,144.248993,77650
FY23-24,20318,Kerang Railway Station (Kerang),-35.733123,143.92443,7600
FY23-24,20319,Kilmore East Railway Station (Kilmore East),-37.293208,144.983565,54200
FY23-24,20320,Kyneton Railway Station (Kyneton),-37.258277,144.450602,123500
FY23-24,20321,Lara Railway Station (Lara),-38.022428,144.414402,320400
FY23-24,20323,Little River Railway Station (Little River),-37.962928,144.498485,15800
FY23-24,20324,Longwarry Railway Station (Longwarry),-38.110992,145.76686,14900
FY23-24,20325,Macedon Railway Station (Macedon),-37.423577,144.561397,42000
FY23-24,20326,Malmsbury Railway Station (Malmsbury),-37.189744,144.375325,17550
FY23-24,20327,Marshall Railway Station (Marshall),-38.19855,144.355055,151600
FY23-24,20328,Moe Railway Station (Moe),-38.176907,146.260574,98050
FY23-24,20329,Mooroopna Railway Station (Mooroopna),-36.399127,145.358217,4900
FY23-24,20330,Morwell Railway Station (Morwell),-38.236723,146.396752,90350
FY23-24,20331,Murchison East Railway Station (Murchison East),-36.61315,145.24064,7850
